EpLenMean,InitialReturnMean,InitialReturnStd,OptimizationReturnMin,InitialReturnMax,InitialReturnMin,ReturnStepMaxmin,Weights,OptimizationReturnMax,ESSRenyiHarmonic,EmpiricalD2Harmonic,StdWReturnMean,MeanD2-0,MeanEntropy,Epsilon,Inner Iteration,EpThisIter,InitialBound,ReturnMeanIW,Iteration,WReturnMean,ReturnStepMax,MinTargetPdf,VarianceInitializer,MeanIW,EpisodesSoFar,TimeElapsed,MinBehavPdf,LearnableVariance,ESSRenyiArithmetic,OptimizationReturnMean,MinIW,Bound,TimestepsSoFar,Penalization,MaxIW,DivergenceHarmonic,StdIW,EmpiricalD2Arithmetic,EpRewMean
210.15,-150.86658,36.905785,,-82.29264,-273.98083,0.85876524,[-0.033  0.684],191.6882,100.0,1.0,,1.0,0.4189424,2.0,1,100,-17743.982,123251464.0,11,16519.16,0.85876524,-173.36348,-1.0,9362.935,1100,299.97140979766846,-173.36348,,100.0,123.114265,0.006420962,-18734369000.0,422831,True,704175.44,230890410000000.0,70324.59,1.0,-150.86657088801266
183.67,-132.36057,35.30111,,-72.60805,-239.26991,0.86350363,[-0.019  0.745],166.66187,100.0,1.0,,1.0,0.4189424,2.0,1,100,-13601.652,4621876.0,12,12675.774,0.86350363,-124.888115,-1.0,459.25583,1200,315.4554352760315,-124.888115,,100.0,106.90935,0.009946195,-686652540.0,441198,True,10301.724,542631920000.0,1307.1552,1.0,-132.36057305008174
169.84,-122.34499,39.46845,,-72.24422,-408.86658,0.86280483,[-0.012  0.807],336.62238,100.0,1.0,,1.0,0.4189424,2.0,1,100,-87429.55,166067490.0,13,83652.375,0.86280483,-190.85873,-1.0,2071.5198,1300,329.3695800304413,-190.85873,,100.0,286.52158,0.027116714,-1324058100.0,458182,True,184989.02,93989780000.0,18406.512,1.0,-122.34499749571086
184.71,-132.31851,32.48064,,-83.036514,-259.6297,0.86277163,[-0.003  0.745],176.59319,100.0,1.0,,1.0,0.4189424,2.0,1,100,-18302.643,28463666.0,14,17263.13,0.86277163,-152.04884,-1.0,1835.1624,1400,345.35677552223206,-152.04884,,100.0,127.31119,0.08914186,-3035798000.0,476653,True,83426.9,8369705000000.0,9401.997,1.0,-132.31851176172495
167.39,-120.75652,31.66731,,-81.96054,-246.89722,0.86259013,[0.007 0.807],164.93668,100.0,1.0,,1.0,0.4189424,2.0,1,100,-17821.1,6948011.5,15,16914.291,0.86259013,-127.33777,-1.0,629.5976,1500,357.82425928115845,-127.33777,,100.0,126.140686,0.06290939,-1223186400.0,493392,True,45121.645,1798916400000.0,4529.7354,1.0,-120.75652646839619
153.45,-109.82063,27.1438,,-61.202805,-199.62964,0.8612205,[0.015 0.869],138.42683,100.0,1.0,,1.0,0.4189424,2.0,1,100,-9441.178,1400502.8,16,8802.442,0.8612205,-112.29605,-1.0,182.43173,1600,371.47201585769653,-112.29605,,100.0,89.809006,0.06200404,-48568304.0,508737,True,4388.0596,5453215000.0,628.4513,1.0,-109.82063221141696
163.21,-116.59636,25.862091,,-71.99892,-205.24239,0.86819506,[-0.099  0.817],133.24347,100.0,1.0,,1.0,0.4189424,2.0,1,100,-9118.764,4369943.0,17,8526.966,0.86819506,-107.1834,-1.0,677.2872,1700,384.79410004615784,-107.1834,,100.0,88.64603,0.0029732492,-152899090.0,525058,True,42927.453,62991536000.0,4341.6855,1.0,-116.59635970309377
175.69,-125.83582,29.7491,,-72.05841,-247.55482,0.86546105,[-0.113  0.757],175.49641,100.0,1.0,,1.0,0.4189424,2.0,1,100,-16727.164,31613034.0,18,15700.526,0.86546105,-134.12274,-1.0,2364.33,1800,399.8101863861084,-134.12274,,100.0,121.71902,0.0953875,-257130080.0,542627,True,133706.95,48253424000.0,15533.591,1.0,-125.83581379830838
163.43,-117.074036,30.662374,,-70.277054,-210.24974,0.8658956,[-0.093  0.816],139.97269,100.0,1.0,,1.0,0.4189424,2.0,1,100,-10274.972,2707719.8,19,9621.891,0.8658956,-117.61096,-1.0,419.42407,1900,414.5778465270996,-117.61096,,100.0,93.175705,0.024183147,-108961630.0,558970,True,17173.348,26470316000.0,1945.1642,1.0,-117.07404612258077
154.83,-110.745605,30.639801,,-62.29664,-267.27734,0.8635511,[-0.078  0.877],204.98071,100.0,1.0,,1.0,0.4189424,2.0,1,100,-26841.555,117643304.0,20,25440.98,0.8635511,-128.3927,-1.0,8974.967,2000,426.72231793403625,-128.3927,,100.0,156.53174,0.017640067,-1961849400000.0,574453,True,332720.25,1.9618677e+18,46721.51,1.0,-110.74560556307435
170.7,-122.129875,28.041224,,-71.68885,-204.4425,0.86603487,[0.016 0.795],132.75366,100.0,1.0,,1.0,0.4189424,2.0,1,100,-8149.134,805765.44,21,7561.679,0.86603487,-119.01073,-1.0,195.10722,2100,442.2302939891815,-119.01073,,100.0,82.31264,0.063832335,-6683469.5,591523,True,9958.45,100108696.0,1038.4849,1.0,-122.12987211748958
158.95,-113.65752,24.912657,,-72.82663,-217.58823,0.8582629,[0.051 0.846],144.7616,100.0,1.0,,1.0,0.4189424,2.0,1,100,-12120.766,3050422.0,22,11422.232,0.8582629,-120.73629,-1.0,350.65857,2200,455.7533688545227,-120.73629,,100.0,103.93071,0.008770726,-160891170.0,607418,True,8461.563,51058418000.0,1061.554,1.0,-113.65751950412988
175.0,-125.61826,33.36381,,-71.689514,-305.25275,0.8608209,[0.047 0.784],233.56323,100.0,1.0,,1.0,0.4189424,2.0,1,100,-35200.094,6837576.5,23,33381.69,0.8608209,-163.6188,-1.0,286.9106,2300,469.4363057613373,-163.6188,,100.0,179.63448,0.22442085,-5834477600.0,624918,True,10065.695,10270935000000.0,1107.0997,1.0,-125.61826420634985
157.19,-111.96683,27.364252,,-61.894768,-199.67513,0.86830145,[0.045 0.846],137.78036,100.0,1.0,,1.0,0.4189424,2.0,1,100,-9074.33,3385963300.0,24,8441.547,0.86830145,-110.25076,-1.0,1027490.06,2400,483.32567596435547,-110.25076,,100.0,87.70829,0.10620481,-892077260000000.0,640637,True,85200110.0,1.9874436e+24,8497791.0,1.0,-111.96683134198189
138.58,-98.77758,23.05536,,-61.183067,-178.15344,0.86218107,[-0.036  0.942],116.970375,100.0,1.0,,1.0,0.4189424,2.0,1,100,-7288.1465,1931571.5,25,6832.0767,0.86218107,-100.6901,-1.0,460.91586,2500,493.83106541633606,-100.6901,,100.0,79.37586,0.051149655,-11700358.0,654495,True,34468.45,458796580.0,3448.0933,1.0,-98.7775810828805
137.2,-97.72232,22.93005,,-61.314728,-179.02493,0.8633331,[-0.025  1.003],117.710205,100.0,1.0,,1.0,0.4189424,2.0,1,100,-7597.7583,452322.97,26,7135.902,0.8633331,-106.807434,-1.0,59.290596,2600,505.0520889759064,-106.807434,,100.0,81.302605,0.01705695,-5595361.5,668215,True,1537.9584,124001100.0,180.99783,1.0,-97.72232276126742
143.9,-102.93496,21.606012,,-62.014328,-186.3519,0.8570137,[-0.008  0.943],124.33757,100.0,1.0,,1.0,0.4189424,2.0,1,100,-7940.5337,44450944.0,27,7425.205,0.8570137,-98.03598,-1.0,7600.0845,2700,518.4864246845245,-98.03598,,100.0,83.41695,0.16252226,-6825580000000.0,682605,True,336719.3,1.7543106e+20,37219.344,1.0,-102.93495762586593
156.21,-111.50293,27.281502,,-62.066494,-207.46347,0.8637376,[0.083 0.857],145.39697,100.0,1.0,,1.0,0.4189424,2.0,1,100,-10657.386,2880182.0,28,9952.706,0.8637376,-128.81602,-1.0,313.2593,2800,531.2801232337952,-128.81602,,100.0,95.96055,0.012028013,-46720310.0,698226,True,7688.076,3870478800.0,995.5429,1.0,-111.502926697433
145.45,-103.933525,28.076391,,-51.154953,-267.8833,0.85645103,[0.078 0.919],216.72835,100.0,1.0,,1.0,0.4189424,2.0,1,100,-29233.52,52909590000.0,29,27667.81,0.85645103,-136.1315,-1.0,2399931.2,2900,543.6212940216064,-136.1315,,100.0,163.94977,0.007849261,-1.0890061e+19,712771,True,132428500.0,4.837715e+31,14996246.0,1.0,-103.93352864444256
170.29,-122.277855,27.53781,,-72.69398,-187.87279,0.85565674,[0.016 0.811],115.17881,100.0,1.0,,1.0,0.4189424,2.0,1,100,-5503.2344,2473832.0,30,5061.0273,0.85565674,-120.914444,-1.0,656.75354,3000,555.7348964214325,-120.914444,,100.0,65.59494,0.027896922,-1172633200.0,729800,True,13291.002,7002323000000.0,2057.7732,1.0,-122.27784640923143
168.96,-121.094124,32.419365,,-71.24143,-239.53903,0.85786337,[0.265 0.791],168.2976,100.0,1.0,,1.0,0.4189424,2.0,1,100,-16024.353,3823198.0,31,15080.212,0.85786337,-128.62378,-1.0,355.53003,3100,569.1994256973267,-128.62378,,100.0,118.444916,0.27454275,-134525650.0,746696,True,13587.517,19164530000.0,1578.8622,1.0,-121.09412033811212
155.84,-111.57257,30.509846,,-72.23491,-228.27869,0.85851574,[0.284 0.85 ],156.04378,100.0,1.0,,1.0,0.4189424,2.0,1,100,-15362.827,4130091.2,32,14551.168,0.85851574,-129.46951,-1.0,256.43832,3200,583.4268352985382,-129.46951,,100.0,116.70612,0.017405847,-44623504.0,762280,True,9189.075,2489003300.0,1055.3881,1.0,-111.57256683826446
172.21,-123.0796,35.450428,,-73.34126,-277.99774,0.866184,[0.281 0.788],204.65648,100.0,1.0,,1.0,0.4189424,2.0,1,100,-26652.512,61198310.0,33,25256.363,0.866184,-154.03827,-1.0,2415.9177,3300,598.0430402755737,-154.03827,,100.0,154.91815,0.03762084,-1005022140.0,779501,True,211935.66,457006500000.0,21101.07,1.0,-123.07960289046169
194.88,-140.1357,37.245174,,-82.13902,-254.49707,0.8656016,[0.275 0.726],172.35805,100.0,1.0,,1.0,0.4189424,2.0,1,100,-15455.979,1820940.8,34,14465.729,0.8656016,-145.52292,-1.0,176.22997,3400,615.2671344280243,-145.52292,,100.0,114.361374,0.019194918,-2143217400.0,798989,True,3040.3086,4676386000000.0,411.8861,1.0,-140.1356894685328
211.56,-152.23546,39.85967,,-83.17772,-363.0997,0.8630782,[0.161 0.675],279.922,100.0,1.0,,1.0,0.4189424,2.0,1,100,-48664.414,66670452.0,35,46052.516,0.8630782,-206.51276,-1.0,1814.5151,3500,632.8164553642273,-206.51276,,100.0,210.86424,0.036992397,-23023464000.0,820145,True,34038.3,77253250000000.0,5981.955,1.0,-152.2354626519978
181.49,-129.91049,31.707214,,-71.93275,-240.51126,0.86137617,[0.159 0.738],168.57852,100.0,1.0,,1.0,0.4189424,2.0,1,100,-14185.177,25753488.0,36,13237.88,0.86137617,-138.63766,-1.0,9278.711,3600,647.1804447174072,-138.63766,,100.0,110.600784,0.06691052,-1416834800.0,838294,True,863867.06,2156445800000.0,85919.414,1.0,-129.91047961980104
167.51,-119.9164,29.763153,,-61.358093,-203.25685,0.86045593,[0.153 0.8  ],141.89876,100.0,1.0,,1.0,0.4189424,2.0,1,100,-8502.657,1561539.6,37,7831.4785,0.86045593,-131.46751,-1.0,415.0749,3700,662.0701847076416,-131.46751,,100.0,83.34047,0.08561316,-145668060.0,855045,True,7536.3267,46099410000.0,1282.8058,1.0,-119.91638433992863
154.69,-110.79433,29.165417,,-62.11512,-216.62009,0.86373115,[0.146 0.862],154.50497,100.0,1.0,,1.0,0.4189424,2.0,1,100,-12845.443,2180304.2,38,12049.714,0.86373115,-128.29617,-1.0,182.66533,3800,673.8934638500214,-128.29617,,100.0,105.82575,0.024076004,-22941234.0,870514,True,7345.142,680716500.0,807.50995,1.0,-110.79432501286269
174.67,-125.70752,32.747746,,-73.98804,-240.81386,0.8651574,[0.13  0.802],166.82582,100.0,1.0,,1.0,0.4189424,2.0,1,100,-15249.584,3225974.5,39,14321.883,0.8651574,-133.17389,-1.0,372.1943,3900,688.2833640575409,-133.17389,,100.0,115.106346,0.0524574,-626093760.0,887981,True,18366.49,450797080000.0,1925.1631,1.0,-125.70752545878291
149.68,-106.30916,23.703169,,-62.00523,-186.41133,0.8636288,[0.14  0.863],124.4061,100.0,1.0,,1.0,0.4189424,2.0,1,100,-7494.0957,798306.3,40,6978.1978,0.8636288,-115.4213,-1.0,119.45232,4000,699.7912364006042,-115.4213,,100.0,80.10217,0.047024302,-13581900.0,902949,True,1352.241,614019000.0,267.7986,1.0,-106.30916009292007
174.72,-125.74916,33.00238,,-71.48549,-222.49335,0.8654757,[0.024 0.815],151.00786,100.0,1.0,,1.0,0.4189424,2.0,1,100,-11208.714,1654467.2,41,10448.597,0.8654757,-135.40033,-1.0,417.84863,4100,714.8356487751007,-135.40033,,100.0,96.74419,0.027535336,-402088300.0,920421,True,29481.979,277527400000.0,2933.2627,1.0,-125.7491544610262
149.35,-106.6704,23.937855,,-72.179405,-199.35825,0.8606314,[0.022 0.877],127.17884,100.0,1.0,,1.0,0.4189424,2.0,1,100,-9703.206,2894819.8,42,9164.057,0.8606314,-110.77504,-1.0,384.42462,4200,727.1306734085083,-110.77504,,100.0,92.68784,0.056440245,-68676240.0,935356,True,17858.273,14886395000.0,1978.3586,1.0,-106.67040576010942
139.93,-98.80182,20.809986,,-61.86802,-179.31476,0.85825026,[0.009 0.938],117.44674,100.0,1.0,,1.0,0.4189424,2.0,1,100,-7375.182,743499.7,43,6915.3896,0.85825026,-97.25002,-1.0,128.12202,4300,739.9529983997345,-97.25002,,100.0,80.51295,0.04403627,-26605608.0,949349,True,2956.835,3163781600.0,392.95737,1.0,-98.80181490063667
132.14,-93.48964,21.409626,,-60.963737,-162.76268,0.863343,[0.004 1.001],101.79894,100.0,1.0,,1.0,0.4189424,2.0,1,100,-5602.56,5163550000.0,44,5257.125,0.863343,-105.239395,-1.0,1313089.4,4400,750.8589503765106,-105.239395,,100.0,69.27304,0.08793142,-3.5678183e+17,962563,True,52502684.0,1.06678e+30,7063148.0,1.0,-93.4896449111402
150.58,-107.861824,28.51592,,-61.692642,-239.57361,0.8629944,[0.236 0.906],177.88097,100.0,1.0,,1.0,0.4189424,2.0,1,100,-19215.873,1470788.9,45,18161.15,0.8629944,-123.68207,-1.0,73.86575,4500,762.006117105484,-123.68207,,100.0,131.71179,0.10224767,-22891004.0,977621,True,2070.8284,412450900.0,257.69098,1.0,-107.86182905182243
148.0,-105.278244,25.819036,,-61.355698,-203.56873,0.86509687,[0.216 0.847],142.21303,100.0,1.0,,1.0,0.4189424,2.0,1,100,-11001.796,3797567.0,46,10327.643,0.86509687,-117.9372,-1.0,2919.9688,4600,773.4934318065643,-117.9372,,100.0,98.29049,0.01405831,-47336704.0,992421,True,283161.28,4171042000.0,28166.746,1.0,-105.27823902189732
145.15,-103.44502,25.648285,,-62.812702,-206.67902,0.8658796,[0.221 0.91 ],143.86632,100.0,1.0,,1.0,0.4189424,2.0,1,100,-12005.009,2151798.5,47,11315.09,0.8658796,-129.91608,-1.0,234.88686,4700,786.9749429225922,-129.91608,,100.0,103.233986,0.02746484,-16026588.0,1006936,True,6371.257,404444320.0,827.42065,1.0,-103.44502963498235
137.36,-97.33482,24.186302,,-60.611977,-169.67476,0.86294156,[0.203 0.97 ],109.06278,100.0,1.0,,1.0,0.4189424,2.0,1,100,-6214.5317,15741572.0,48,5818.0415,0.86294156,-118.01589,-1.0,3222.3079,4800,798.9395978450775,-118.01589,,100.0,72.33993,0.11228937,-16550554000.0,1020672,True,173467.16,1739140700000000.0,18542.705,1.0,-97.33483697488904
132.01,-93.84039,23.700222,,-60.728973,-170.3505,0.8646664,[0.104 1.046],109.62152,100.0,1.0,,1.0,0.4189424,2.0,1,100,-6816.0596,533931.8,49,6415.496,0.8646664,-97.67604,-1.0,140.70717,4900,809.81427526474,-97.67604,,100.0,76.5101,0.03162583,-8651964.0,1033873,True,6909.8154,410734100.0,706.41956,1.0,-93.84039551332593
129.23,-91.29964,21.879463,,-60.336662,-152.16083,0.8685411,[0.116 1.107],91.824165,100.0,1.0,,1.0,0.4189424,2.0,1,100,-4463.851,240492690.0,50,4182.7954,0.8685411,-99.593506,-1.0,196861.12,5000,820.9046742916107,-99.593506,,100.0,60.86119,0.018924164,-1.565405e+17,1046796,True,17514026.0,3.102187e+29,1744064.8,1.0,-91.2996386386454
119.5,-84.7193,18.853903,,-51.050827,-158.65465,0.85775733,[0.034 1.201],107.60382,100.0,1.0,,1.0,0.4189424,2.0,1,100,-6207.8574,79830600000.0,51,5821.9053,0.85775733,-89.15607,-1.0,26209762.0,5100,830.4944152832031,-89.15607,,100.0,73.93535,0.1718687,-2.8677547e+18,1058746,True,2432641800.0,5.520974e+31,242126910.0,1.0,-84.71929895371198
113.87,-80.12128,17.769577,,-50.80065,-148.28331,0.862572,[0.039 1.326],97.48266,100.0,1.0,,1.0,0.4189424,2.0,1,100,-5278.582,82080370000.0,52,4961.8203,0.862572,-87.09915,-1.0,16968052.0,5200,840.0841801166534,-87.09915,,100.0,68.16203,0.016065141,-3.958782e+20,1070133,True,678360770.0,1.5619107e+36,91744590.0,1.0,-80.1212786526978
107.87,-75.28005,16.1823,,-50.97991,-133.9798,0.86280215,[0.036 1.451],82.999886,100.0,1.0,,1.0,0.4189424,2.0,1,100,-3937.1592,21048093000.0,53,3707.5269,0.86280215,-79.97209,-1.0,5583575.5,5300,848.9299657344818,-79.97209,,100.0,58.69974,0.59060746,-2.750791e+18,1080920,True,151714220.0,1.4349859e+32,23708912.0,1.0,-75.28005265057087
102.54,-71.07249,12.968433,,-50.01375,-120.4571,0.864692,[0.023 1.575],70.44335,100.0,1.0,,1.0,0.4189424,2.0,1,100,-2772.4268,101017.43,54,2607.0198,0.864692,-66.17966,-1.0,45.749737,5400,857.9711210727692,-66.17966,,100.0,49.38461,0.021425897,-1722415.5,1091174,True,1393.4636,96086380.0,146.48924,1.0,-71.07249172851444
101.29,-70.560715,13.914579,,-50.30671,-117.7514,0.86136276,[0.022 1.638],67.444695,100.0,1.0,,1.0,0.4189424,2.0,1,100,-2572.2004,10923886000.0,55,2420.576,0.86136276,-77.84375,-1.0,558738370.0,5500,867.2106091976166,-77.84375,,100.0,47.190678,0.22390093,-4.546757e+18,1101303,True,55243465000.0,8.991971e+32,5496085500.0,1.0,-70.56072166845202
97.13,-67.361,12.973018,,-39.958275,-118.41936,0.8612567,[0.021 1.763],78.46108,100.0,1.0,,1.0,0.4189424,2.0,1,100,-2980.4583,40930056.0,56,2775.2554,0.8612567,-89.580475,-1.0,18641.414,5600,874.7660038471222,-89.580475,,100.0,51.05836,0.14804539,-2053129600000.0,1111016,True,1132063.1,1.0010154e+20,115019.63,1.0,-67.36099795237183
101.37,-69.72913,11.862382,,-49.802803,-112.698654,0.86321497,[-0.213  1.849],62.89585,100.0,1.0,,1.0,0.4189424,2.0,1,100,-2118.9573,25380262000.0,57,1987.0958,0.86321497,-67.578026,-1.0,51194280.0,5700,883.3501935005188,-67.578026,,100.0,42.96952,0.57525146,-19756413000000.0,1121153,True,4543871500.0,2.2390006e+22,455098660.0,1.0,-69.72913334190845
97.81,-67.57233,12.777774,,-49.71747,-108.0106,0.8572069,[-0.283  1.953],58.29313,100.0,1.0,,1.0,0.4189424,2.0,1,100,-1911.7933,41197656.0,58,1798.5256,0.8572069,-69.96048,-1.0,31995.018,5800,891.247156381607,-69.96048,,100.0,40.43828,0.085971855,-31036615000.0,1130934,True,1911841.1,7.488037e+16,197605.2,1.0,-67.57232073500752
100.34,-69.492004,12.347077,,-39.76484,-116.28482,0.86013544,[-0.197  1.862],76.51998,100.0,1.0,,1.0,0.4189424,2.0,1,100,-2537.1926,54332404000.0,59,2342.0183,0.86013544,-71.82232,-1.0,28695838.0,5900,900.1050772666931,-71.82232,,100.0,46.792816,2.386189,-2.3710691e+19,1140968,True,2809175800.0,1.4758134e+34,279482100.0,1.0,-69.49199912637472
106.03,-73.67202,14.544765,,-50.274834,-130.0813,0.862744,[-0.162  1.742],79.806465,100.0,1.0,,1.0,0.4189424,2.0,1,100,-3605.857,105127.58,60,3393.5571,0.862744,-83.09938,-1.0,41.614937,6000,908.1204314231873,-83.09938,,100.0,56.409283,0.016751304,-5397086.5,1151571,True,972.24536,621331100.0,117.08947,1.0,-73.67201729431748
101.43,-70.26357,12.771407,,-49.940353,-114.32406,0.8637151,[-0.165  1.679],64.383705,100.0,1.0,,1.0,0.4189424,2.0,1,100,-2242.6096,10338002000.0,61,2104.4358,0.8637151,-70.00723,-1.0,5365643.0,6100,916.1388821601868,-70.00723,,100.0,44.060497,0.1567559,-875474460000000.0,1161714,True,325245250.0,4.0143505e+25,35781250.0,1.0,-70.26356554955244
98.94,-68.60544,12.662959,,-49.489815,-108.786125,0.86469626,[-0.099  1.786],59.29631,100.0,1.0,,1.0,0.4189424,2.0,1,100,-1892.0386,50756624000.0,62,1774.8379,0.86469626,-72.87424,-1.0,90396010.0,6200,924.8668839931488,-72.87424,,100.0,40.180687,0.052622747,-8.632692e+16,1171608,True,5716711400.0,5.4253e+29,614220540.0,1.0,-68.60543856158853
99.95,-68.81587,13.621512,,-49.014206,-108.826355,0.86879987,[-0.132  1.906],59.81215,100.0,1.0,,1.0,0.4189424,2.0,1,100,-1905.6323,133980.11,63,1786.3843,0.86879987,-76.197784,-1.0,85.95958,6300,934.1656141281128,-76.197784,,100.0,40.010483,0.03297963,-2831471.5,1181603,True,1704.717,511687680.0,245.03172,1.0,-68.81587304845452
97.51,-67.18578,12.294119,,-39.784218,-107.41903,0.85811937,[-0.14   1.844],67.63481,100.0,1.0,,1.0,0.4189424,2.0,1,100,-1922.3412,491615.16,64,1769.8597,0.85811937,-71.32143,-1.0,433.37778,6400,942.7742414474487,-71.32143,,100.0,40.23325,0.026225535,-3534509.5,1191354,True,10815.9,398230980.0,1618.1322,1.0,-67.18577975451946
96.81,-66.84556,9.917091,,-50.113686,-89.66986,0.8590558,[-0.247  1.91 ],39.556175,100.0,1.0,,1.0,0.4189424,2.0,1,100,-671.4528,749298000.0,65,619.2972,0.8590558,-61.936653,-1.0,5840442.0,6500,951.3388895988464,-61.936653,,100.0,22.824297,0.21401568,-2.1352714e+18,1201035,True,385252380.0,1.6760673e+33,40070748.0,1.0,-66.84556406065822
100.73,-69.63167,12.818261,,-50.049156,-109.19437,0.86345357,[-0.269  1.787],59.14521,100.0,1.0,,1.0,0.4189424,2.0,1,100,-1846.1188,5243609000.0,66,1729.5149,0.86345357,-81.66415,-1.0,3688215.0,6600,961.3708417415619,-81.66415,,100.0,39.5627,0.01480521,-8.6565644e+18,1211108,True,169874270.0,5.5113165e+33,20426030.0,1.0,-69.63166613996029
106.22,-73.66487,13.965954,,-50.164436,-117.89846,0.8627715,[-0.274  1.662],67.734024,100.0,1.0,,1.0,0.4189424,2.0,1,100,-2304.588,110408610000.0,67,2151.6584,0.8627715,-80.20302,-1.0,100634590.0,6700,969.9691941738129,-80.20302,,100.0,44.233593,0.052383807,-3.9109082e+18,1221730,True,5967159000.0,6.5398856e+32,654761400.0,1.0,-73.66486828163266
101.92,-70.57642,12.085615,,-49.24319,-100.90684,0.85921586,[-0.252  1.785],51.663647,100.0,1.0,,1.0,0.4189424,2.0,1,100,-1154.9663,22845743000.0,68,1065.9961,0.85921586,-71.25702,-1.0,51217420.0,6800,979.3292603492737,-71.25702,,100.0,30.330412,0.68914807,-1.1346136e+19,1231922,True,4288222500.0,1.6262911e+34,431343600.0,1.0,-70.57642372965813
