TimestepsSoFar,ESSRenyiHarmonic,InitialReturnMin,OptimizationReturnMax,MaxIW,ReturnStepMaxmin,Bound,EmpiricalD2Arithmetic,TimeElapsed,EpRewMean,StdIW,Inner Iteration,OptimizationReturnMin,EpLenMean,Epsilon,EmpiricalD2Harmonic,OptimizationReturnMean,MeanIW,InitialBound,MeanEntropy,InitialReturnStd,VarianceInitializer,MeanD2-0,ReturnMeanIW,MinTargetPdf,InitialReturnMax,MinIW,StdWReturnMean,LearnableVariance,EpThisIter,MinBehavPdf,Iteration,Penalization,InitialReturnMean,ReturnStepMax,EpisodesSoFar,WReturnMean,DivergenceHarmonic,ESSRenyiArithmetic
10348,3.5203216e-09,49.915657,549.95044,224.18503,9.999999,-inf,14203249000.0,6.0399010181427,157.88470557676752,35.0838,5,,16.8,1.0,14203248000.0,107.96904,7.0094175,-inf,0.4189424,93.25112,-1.0,14203249000.0,42983.6,-48.98773,599.8661,1.6850269e-16,,,50,-30.827938,2,True,157.8847,9.999999,750,42983.6,inf,3.5203214e-09
11195,1.5392095e-08,19.963228,579.9114,24.66693,9.999999,-inf,3248420600.0,6.428965091705322,159.29088499550005,4.723316,6,,16.94,1.0,3248420600.0,139.32765,1.2680964,-inf,0.4189424,102.452225,-1.0,3248420600.0,38792.492,-46.53757,599.87463,3.1255857e-15,,,50,-29.837994,2,True,159.29088,9.999999,800,38792.492,inf,1.5392095e-08
12059,0.0005492106,29.943449,329.96902,26.029627,10.0,-inf,91039.76,6.849837303161621,162.69000696922302,3.8268526,7,,17.28,1.0,91039.76,132.74657,0.885685,-inf,0.4189424,78.35731,-1.0,91039.76,5955.761,-24.58661,359.91248,8.998053e-11,,,50,-17.163794,2,True,162.69,10.0,850,5955.761,inf,0.0005492106
12925,1.0806043e-06,39.934147,409.94885,13.462415,9.999997,-inf,46270410.0,7.1254918575286865,163.08801246261046,1.959168,8,,17.32,1.0,46270410.0,123.15387,0.43655518,-inf,0.4189424,92.78813,-1.0,46270410.0,1563.787,-36.759964,449.883,1.1368966e-10,,,50,-25.31119,2,True,163.08801,9.999997,900,1563.787,inf,1.0806043e-06
13828,1.1419561e-06,9.980056,559.91187,15.93423,9.999997,-inf,43784520.0,7.46074914932251,170.49042446058112,3.0988483,9,,18.06,1.0,43784520.0,160.51036,1.0500591,-inf,0.4189424,109.13777,-1.0,43784520.0,13770.921,-35.621567,569.8919,1.1128828e-13,,,50,-21.13443,2,True,170.49042,9.999997,950,13770.921,inf,1.1419561e-06
14698,5.7266665e-05,29.94827,389.9491,351.55353,9.9999895,-inf,873108.3,7.789194107055664,163.88899708274568,49.21018,10,,17.4,1.0,873108.3,133.94072,7.0835447,-inf,0.4189424,92.476265,-1.0,873108.3,101562.71,-31.50344,419.89737,8.36043e-12,,,50,-20.491373,2,True,163.88898,9.9999895,1000,101562.71,inf,5.7266665e-05
15680,50.0,29.95206,369.92413,1388515.1,9.999991,-5.8942954e+21,1.0,8.153600215911865,186.28930354838613,205880.06,1,,19.64,1.0,1.0,156.33725,56324.83,-56017.484,0.4189424,90.87303,-1.0,1.0,2652413000.0,-15.496828,399.8762,0.66492176,,,50,-15.496828,3,True,186.28929,9.999991,1050,42961.613,2.0382289e+35,50.0
17279,,,799.7593,108.44251,9.999999,-inf,inf,8.599865674972534,309.5960842448941,18.199144,2,,31.98,1.0,inf,309.5961,4.0842648,-inf,0.4189424,170.37018,-1.0,inf,43210.867,-98.204956,799.7593,,,,50,-41.92504,3,True,309.5961,9.999999,1100,43210.867,inf,
19083,,89.84354,1139.9327,1.9557421,10.0,-inf,inf,8.977555274963379,350.59671996424686,0.28125793,3,,36.08,1.0,inf,260.75317,0.051542006,-inf,0.4189424,221.75693,-1.0,inf,522.02826,-86.66196,1229.7762,,,,50,-39.41182,3,True,350.59668,10.0,1150,522.02826,inf,
20881,,19.961758,1089.8116,9.016745,10.0,-inf,inf,9.42489767074585,349.3948585982411,1.2701354,4,,35.96,1.0,inf,329.43307,0.20544556,-inf,0.4189424,182.74399,-1.0,inf,6528.8843,-130.61343,1109.7734,,,,50,-76.70456,3,True,349.39484,10.0,1200,6528.8843,inf,
22737,,59.90043,949.8978,3.8173363,9.999998,-inf,inf,9.847882986068726,360.99349478498874,0.5400107,5,,37.12,1.0,inf,301.09308,0.093246184,-inf,0.4189424,208.924,-1.0,inf,571.0471,-103.74991,1009.7983,,,,50,-43.255817,3,True,360.99347,9.999998,1250,571.0471,inf,
24244,,19.960758,729.7957,259.2329,9.999998,-inf,inf,10.329243421554565,291.2103211500781,36.48485,6,,30.14,1.0,inf,271.24957,6.09646,-inf,0.4189424,168.96573,-1.0,inf,26758.34,-96.66991,749.7565,,,,50,-32.680553,3,True,291.21033,9.999998,1300,26758.34,inf,
25961,,49.92759,939.83875,10.416832,9.999998,-inf,inf,10.782806873321533,333.1757467516069,1.4578474,7,,34.34,1.0,inf,283.24817,0.2200765,-inf,0.4189424,167.85112,-1.0,inf,678.1779,-114.72316,989.76636,,,,50,-45.23645,3,True,333.17575,9.999998,1350,678.1779,inf,
27528,,39.93087,829.909,1.2827795,9.999996,-inf,inf,11.25792384147644,303.1983812445482,0.19859996,8,,31.34,1.0,inf,263.26752,0.05335494,-inf,0.4189424,164.30832,-1.0,inf,505.7343,-104.96849,869.83984,,,,50,-35.685226,3,True,303.1984,9.999996,1400,505.7343,inf,
29580,,9.981364,1229.7994,267.86105,9.999999,-inf,inf,11.707743406295776,400.2022936796079,37.587326,9,,41.04,1.0,inf,390.22095,5.9440293,-inf,0.4189424,240.11784,-1.0,inf,18724.94,-102.91548,1239.7808,,,,50,-50.268993,3,True,400.20227,9.999999,1450,18724.94,inf,
31485,,99.8645,789.8926,131.97395,9.999995,-inf,inf,12.110800981521606,370.7958200363296,18.473728,10,,38.1,1.0,inf,270.9313,2.6626098,-inf,0.4189424,156.3792,-1.0,inf,51872.87,-99.77426,889.7571,,,,50,-38.618824,3,True,370.7958,9.999995,1500,51872.87,inf,
33200,50.0,29.942173,779.8511,1370.2856,9.999994,-1742826500.0,1.0,12.59687066078186,332.78999570688524,247.52357,1,,34.3,1.0,1.0,302.84784,82.52454,-189473.34,0.4189424,158.68541,-1.0,1.0,11868319.0,-35.7972,809.7933,0.19044825,,,50,-35.7972,4,True,332.78995,9.999994,1550,135930.25,1045123840.0,50.0
34424,2.6055818,39.93401,579.8666,47687852.0,9.999999,-2.97004e+17,19.189573,12.890963315963745,234.62601721366727,6892973.0,2,,24.48,1.0,19.189573,194.69199,1539015.6,-8288003000.0,0.4189424,119.826256,-1.0,19.189573,235876750000.0,-36.329086,619.8006,1.8799225,,,50,-29.844986,4,True,234.62602,9.999999,1600,156227.48,8.966175e+25,2.6055818
37672,,29.95488,1349.9019,26.427107,10.0,-inf,inf,13.828777551651001,639.4195419685489,4.2223153,3,,64.96,1.0,inf,609.46466,1.0873864,-inf,0.4189424,335.4244,-1.0,inf,5856.9375,-109.66453,1379.8567,,,,50,-59.14344,4,True,639.41956,10.0,1650,5856.9375,inf,
41573,,,2109.6729,1.6483293,10.0,-inf,inf,14.410742282867432,770.0176489501665,0.3376813,4,,78.02,1.0,inf,770.0176,0.08959917,-inf,0.4189424,463.57626,-1.0,inf,112.40254,-145.60545,2109.6729,,,,50,-95.85167,4,True,770.0176,10.0,1700,112.40254,inf,
44949,,29.953379,1749.5927,9.051552,10.0,-inf,inf,15.14502215385437,665.0145130565087,1.5344169,5,,67.52,1.0,inf,635.06116,0.34659,-inf,0.4189424,376.39093,-1.0,inf,1125.6638,-139.86423,1779.546,,,,50,-86.42445,4,True,665.0145,10.0,1750,1125.6638,inf,
48244,,29.957077,1519.6997,5.2084727,9.999999,-inf,inf,15.853127479553223,648.8135555839385,0.7419609,6,,65.9,1.0,inf,618.85645,0.1259946,-inf,0.4189424,303.90833,-1.0,inf,279.25052,-120.362785,1549.6567,,,,50,-80.46423,4,True,648.81354,9.999999,1800,279.25052,inf,
52252,,349.64233,1609.987,3.1253823e-23,10.0,-inf,inf,16.733869075775146,791.4186952003639,,7,,80.16,1.0,inf,441.77637,6.7306993e-25,-inf,0.4189424,332.14075,-1.0,inf,2.862211e-19,-149.1919,1959.6294,,,,50,-92.255844,4,True,791.4187,10.0,1850,2.862211e-19,inf,
55698,,29.950851,1559.8995,1.7003509,9.999999,-inf,inf,17.310256481170654,679.0031645325028,0.23804913,8,,68.92,1.0,inf,649.0523,0.034007017,-inf,0.4189424,331.60333,-1.0,inf,30.506115,-132.83484,1589.8503,,,,50,-72.592186,4,True,679.0032,9.999999,1900,30.506115,inf,
59129,,99.825714,1219.734,4.7528954,9.999999,-inf,inf,18.01004981994629,675.9993290846373,0.6654053,9,,68.62,1.0,inf,576.1736,0.095057905,-inf,0.4189424,255.30704,-1.0,inf,947.26843,-119.89821,1319.5597,,,,50,-64.13026,4,True,675.9994,9.999999,1950,947.26843,inf,
62626,,9.979969,1939.7379,0.53020334,10.0,-inf,inf,18.78688621520996,689.2289778961435,0.07422846,10,,69.94,1.0,inf,679.24896,0.010604067,-inf,0.4189424,337.7548,-1.0,inf,1.0561627,-157.6253,1949.7179,,,,50,-104.25935,4,True,689.229,10.0,2000,1.0561627,inf,
66029,50.0,9.983494,1969.7372,13569.438,10.0,-1526899400000000.0,1.0,19.500497341156006,670.4187871525593,2057.9324,1,,68.06,1.0,1.0,660.43524,677.0714,-878588.5,0.4189424,330.32883,-1.0,1.0,333021570.0,-86.41325,1979.7207,0.15800162,,,50,-86.41325,5,True,670.4188,10.0,2050,558578.44,2.2766497e+19,50.0
70753,6.931637e-09,379.714,2549.1396,5.5316567,9.999999,-inf,7213303300.0,20.327311754226685,934.5490977821761,0.920938,2,,94.48,1.0,7213303300.0,554.83514,0.26212415,-inf,0.4189424,549.838,-1.0,7213303300.0,179356.11,-159.26137,2928.8535,1.544955e-13,,,50,-146.60275,5,True,934.5491,9.999999,2100,179356.11,inf,6.931637e-09
75788,4.206592e-07,359.65463,2399.8958,4631.5337,10.0,-inf,118861064.0,21.33419132232666,996.7026414234704,649.39453,3,,100.7,1.0,118861064.0,637.04803,100.39809,-inf,0.4189424,620.263,-1.0,118861064.0,185758960.0,-130.83495,2759.5503,3.9445877e-16,,,50,-119.22982,5,True,996.70264,10.0,2150,185758960.0,inf,4.206592e-07
81135,1.389172e-07,9.98384,3679.7021,558.18146,10.0,-inf,359926620.0,22.571906566619873,1059.143651542007,78.10471,4,,106.94,1.0,359926620.0,1049.1598,11.541797,-inf,0.4189424,700.6019,-1.0,359926620.0,5495327.0,-173.21567,3689.686,1.880859e-16,,,50,-167.24734,5,True,1059.1437,10.0,2200,5495327.0,inf,1.389172e-07
86146,1.6535924e-07,29.947083,2859.5964,204.84044,9.999999,-inf,302371970.0,23.4844868183136,991.9655436728171,28.644794,5,,100.22,1.0,302371970.0,962.01843,4.5615187,-inf,0.4189424,638.91864,-1.0,302371970.0,980601.0,-119.34499,2889.5435,6.612959e-21,,,50,-111.80114,5,True,991.96545,9.999999,2250,980601.0,inf,1.6535924e-07
91243,8.068465e-09,,2869.2314,2155.2769,10.0,-inf,6196965400.0,24.51499652862549,1009.1258922096029,301.63086,6,,101.94,1.0,6196965400.0,1009.12585,45.462597,-inf,0.4189424,630.48456,-1.0,6196965400.0,20134456.0,-140.34595,2869.2314,2.2592197e-19,,,50,-129.79134,5,True,1009.12585,10.0,2300,20134456.0,inf,8.068465e-09
96658,4.153718e-09,69.882904,3049.463,5.8462505,10.0,-inf,12037409000.0,25.458167552947998,1072.73862173469,0.82957757,7,,108.3,1.0,12037409000.0,1002.8557,0.17599861,-inf,0.4189424,625.64355,-1.0,12037409000.0,166256.42,-125.05225,3119.3457,1.7455765e-19,,,50,-111.443924,5,True,1072.7386,10.0,2350,166256.42,inf,4.153718e-09
101494,1.9297358e-08,19.962269,2939.2466,0.98599905,9.999999,-inf,2591028200.0,26.6619074344635,956.9300477183565,0.20907861,8,,96.72,1.0,2591028200.0,936.9677,0.09446867,-inf,0.4189424,581.1353,-1.0,2591028200.0,31345.281,-138.67577,2959.2087,6.8591347e-18,,,50,-118.91529,5,True,956.93005,9.999999,2400,31345.281,inf,1.9297358e-08
106343,8.909557e-07,9.981569,2839.2415,36.758804,10.0,-inf,56119516.0,27.593737602233887,959.5239274518266,5.1665287,9,,96.98,1.0,56119516.0,949.5424,0.9802462,-inf,0.4189424,508.3936,-1.0,56119516.0,634773.06,-126.75722,2849.2231,1.1504091e-15,,,50,-119.32727,5,True,959.5238,10.0,2450,634773.06,inf,8.909557e-07
111707,3.421025e-08,379.693,2129.8223,137.39227,10.0,-inf,1461550300.0,28.389219999313354,1062.526339193654,19.23679,10,,107.28,1.0,1461550300.0,682.8334,3.089663,-inf,0.4189424,442.69482,-1.0,1461550300.0,956923.5,-115.78423,2509.5151,7.728602e-18,,,50,-114.84219,5,True,1062.5262,10.0,2500,956923.5,inf,3.421025e-08
117194,50.0,9.986828,4988.776,348975.25,10.0,-1.7478616e+20,1.0,29.72786021232605,1087.3290991063848,59228.664,1,,109.74,1.0,1.0,1077.3422,17088.475,-3927821.5,0.4189424,839.81866,-1.0,1.0,13000690000.0,-210.32756,4998.7627,0.0024799628,,,50,-210.32756,6,True,1087.3291,10.0,2550,1887580.0,7.3393113e+27,50.0
125477,2.898966e-09,9.985529,4688.542,125.981606,10.0,-inf,17247529000.0,31.267231941223145,1646.0316189250932,17.626139,2,,165.66,1.0,17247529000.0,1636.0461,2.6980555,-inf,0.4189424,1035.4116,-1.0,17247529000.0,2392437.8,-202.08875,4698.5273,1.283349e-16,,,50,-191.61276,6,True,1646.0316,10.0,2600,2392437.8,inf,2.898966e-09
132855,2.2347066e-16,39.927505,4957.099,11.143583,10.0,-inf,2.2374302e+17,32.91786074638367,1465.2163289914567,2.2387953,3,,147.56,1.0,2.2374302e+17,1425.289,0.61359817,-inf,0.4189424,1106.723,-1.0,2.2374302e+17,799624.2,-245.2203,4997.027,9.6325935e-14,,,50,-230.76389,6,True,1465.2164,10.0,2650,799624.2,inf,2.2347066e-16
140314,1.6605682e-09,29.946537,3768.756,37.84501,10.0,-inf,30110175000.0,33.98119235038757,1481.2128551950443,5.2946944,4,,149.18,1.0,30110175000.0,1451.2662,0.7933658,-inf,0.4189424,704.0726,-1.0,30110175000.0,1201766.9,-175.14998,3798.7026,1.291469e-13,,,50,-164.35583,6,True,1481.213,10.0,2700,1201766.9,inf,1.6605682e-09
148514,4.6790105e-09,9.982238,4988.077,9.313744,10.0,-inf,10686020000.0,35.43005323410034,1629.5642151071565,1.806857,5,,164.0,1.0,10686020000.0,1619.5819,0.43000084,-inf,0.4189424,957.1914,-1.0,10686020000.0,1371749.2,-208.7374,4998.0596,3.730861e-15,,,50,-197.93459,6,True,1629.5643,10.0,2750,1371749.2,inf,4.6790105e-09
156330,3.7067951e-10,339.76227,3038.9785,27.676598,10.0,-inf,134887410000.0,36.74061179161072,1552.6343661247693,5.226565,6,,156.32,1.0,134887410000.0,1212.8721,1.0979022,-inf,0.4189424,757.133,-1.0,134887410000.0,2014284.9,-164.95422,3378.7407,4.267413e-15,,,50,-148.87476,6,True,1552.6344,10.0,2800,2014284.9,inf,3.7067951e-10
164332,3.800242e-11,9.981328,3958.3555,35.05543,10.0,-inf,1315705700000.0,38.29934787750244,1589.8268555023442,4.9205937,7,,160.04,1.0,1315705700000.0,1579.8456,0.82498723,-inf,0.4189424,825.79517,-1.0,1315705700000.0,1285440.5,-195.42343,3968.337,7.887016e-19,,,50,-184.12125,6,True,1589.8269,10.0,2850,1285440.5,inf,3.800242e-11
171820,8.85074e-10,19.962757,4257.9106,152.28546,9.999999,-inf,56492450000.0,39.78125739097595,1487.0008204307205,28.251587,8,,149.76,1.0,56492450000.0,1467.038,5.832045,-inf,0.4189424,846.3411,-1.0,56492450000.0,5793539.5,-185.5629,4277.8735,1.7645038e-18,,,50,-169.01703,6,True,1487.001,9.999999,2900,5793539.5,inf,8.85074e-10
179388,4.6658255e-09,409.74792,3088.3848,107.94167,10.0,-inf,10716217000.0,41.24784708023071,1503.0646714961904,15.109397,9,,151.36,1.0,10716217000.0,1093.3168,2.1767025,-inf,0.4189424,819.95264,-1.0,10716217000.0,402413.6,-155.84406,3498.1326,3.6862454e-13,,,50,-153.4862,6,True,1503.0647,10.0,2950,402413.6,inf,4.6658255e-09
187406,1.3518764e-08,,3539.4246,1.5848099,10.0,-inf,3698563000.0,42.85005307197571,1593.0301414120636,0.25398436,10,,160.36,1.0,3698563000.0,1593.0303,0.062158063,-inf,0.4189424,792.4721,-1.0,3698563000.0,24263.916,-143.32744,3539.4246,2.8651368e-15,,,50,-134.80087,6,True,1593.0303,10.0,3000,24263.916,inf,1.3518764e-08
195094,50.0,,4999.2227,30792.832,10.0,-76941880000000.0,1.0,44.444844484329224,1527.2323765895933,4307.0303,1,,153.76,1.0,1.0,1527.2323,647.5405,-5247758.0,0.4189424,935.2529,-1.0,1.0,2760155000.0,-192.60262,4999.2227,0.26661006,,,50,-192.60262,7,True,1527.2323,10.0,3050,3207136.5,1421594400000000.0,50.0
200984,0.035593722,9.979746,2399.6035,74.08337,9.999999,-6.009434e+17,1404.7421,45.96438241004944,1167.681762014391,15.925917,2,,117.8,1.0,1404.7421,1157.702,5.222551,-6.009434e+17,0.4189424,560.4676,-1.0,1404.7421,7277739.0,-120.223816,2409.5833,2.818728e-07,,,50,-118.78171,7,True,1167.6818,9.999999,3100,7277739.0,1.6069065e+24,0.035593722
207566,0.06356682,,2658.8381,321.07758,10.0,-4.228587e+16,786.5739,47.23854374885559,1306.0396310310307,60.246067,3,,131.64,1.0,786.5739,1306.0396,15.741747,-4.228587e+16,0.4189424,551.0007,-1.0,786.5739,45235372.0,-115.9659,2658.8381,6.256976e-10,,,50,-114.69886,7,True,1306.0396,10.0,3150,45235372.0,5.3667854e+21,0.06356682
213075,0.122727565,19.964527,2619.7012,59.216015,9.999999,-3578075500000000.0,407.40643,48.452547550201416,1091.4369218355905,9.202168,4,,110.18,1.0,407.40643,1071.4724,2.4188254,-3578075500000000.0,0.4189424,533.02527,-1.0,407.40643,3604772.8,-120.46498,2639.6658,7.2065482e-09,,,50,-115.99905,7,True,1091.437,9.999999,3200,3604772.8,3.9554377e+19,0.122727565
219498,0.076664105,,2859.1875,2.31468,9.999999,-1.68859e+16,652.1957,49.55142879486084,1274.2703025015069,0.46804217,5,,128.46,1.0,652.1957,1274.2703,0.16697074,-1.68859e+16,0.4189424,500.85712,-1.0,652.1957,448923.25,-114.95491,2859.1875,1.6331602e-07,,,50,-115.30876,7,True,1274.2703,9.999999,3250,448923.25,6.399841e+20,0.076664105
225532,0.07717495,9.984741,2279.734,421.34872,10.0,-1.1725383e+16,647.87866,50.976577281951904,1196.4488289147273,68.20059,6,,120.68,1.0,647.87866,1186.4641,15.611427,-1.1725383e+16,0.4189424,534.064,-1.0,647.87866,8099255.0,-87.96733,2289.7185,1.0821706e-06,,,50,-84.71131,7,True,1196.4489,10.0,3300,8099255.0,7.502689e+20,0.07717495
231205,0.08930816,,2379.6558,57.482212,10.0,-2977110800000000.0,559.85925,52.23639130592346,1124.260639841327,9.772845,7,,113.46,1.0,559.85925,1124.2607,2.165191,-2977110800000000.0,0.4189424,448.98535,-1.0,559.85925,2343711.5,-102.37322,2379.6558,7.800344e-09,,,50,-98.99688,7,True,1124.2607,10.0,3350,2343711.5,4.1459566e+19,0.08930816
237029,0.08485132,9.979254,3279.1274,92.16307,10.0,-1.6141807e+16,589.26605,53.36531114578247,1154.48341115719,12.901375,8,,116.48,1.0,589.26605,1144.5042,2.1021998,-1.6141807e+16,0.4189424,607.8201,-1.0,589.26605,9619439.0,-156.0481,3289.1067,1.7601103e-07,,,50,-152.27281,7,True,1154.4834,10.0,3400,9619439.0,3.339517e+20,0.08485132
243349,0.07953835,399.75732,2519.544,297.80582,10.0,-4.1557116e+16,628.62756,55.249263763427734,1253.6440873486729,55.955833,9,,126.4,1.0,628.62756,853.8868,12.97282,-4.1557116e+16,0.4189424,564.26575,-1.0,628.62756,52709130.0,-138.30066,2919.3013,5.881146e-07,,,50,-137.98102,7,True,1253.644,10.0,3450,52709130.0,3.566698e+21,0.07953835
249891,0.08285922,29.952072,3108.787,197.63216,10.0,-1.4286193e+17,603.43317,57.73800826072693,1298.060820389493,35.144817,10,,130.84,1.0,603.43317,1268.1088,8.423871,-1.4286193e+17,0.4189424,694.03705,-1.0,603.43317,42214308.0,-134.9797,3138.7393,8.676097e-08,,,50,-135.39626,7,True,1298.0609,10.0,3500,42214308.0,3.154303e+22,0.08285922
256092,50.0,9.981589,3718.936,2025.4059,10.0,-117624510000.0,1.0,59.97599911689758,1229.8443187444009,379.9152,1,,124.02,1.0,1.0,1219.8628,134.98778,-3185414.5,0.4189424,733.1892,-1.0,1.0,219264050.0,-169.82391,3728.9177,0.011702596,,,50,-169.82391,8,True,1229.8442,10.0,3550,2050083.4,10693874000.0,50.0
264615,0.0005602927,29.952984,3559.2175,308.65952,10.0,-1.898659e+24,89239.07,62.77075219154358,1693.9897578763466,43.203247,2,,170.46,1.0,89239.07,1664.0369,6.949848,-1.898659e+24,0.4189424,757.95624,-1.0,89239.07,10049829.0,-168.04836,3589.1704,8.951937e-11,,,50,-164.35687,8,True,1693.9897,10.0,3600,10049829.0,3.258434e+36,0.0005602927
272045,0.0006567889,19.959595,4828.7207,249.66467,10.0,-2.7928892e+24,76127.96,64.78189277648926,1475.4496444416654,43.79859,3,,148.6,1.0,76127.96,1455.49,10.269361,-2.7928892e+24,0.4189424,919.7951,-1.0,76127.96,17104738.0,-212.79842,4848.68,2.779965e-07,,,50,-210.50606,8,True,1475.4496,10.0,3650,17104738.0,2.11692e+36,0.0006567889
